Date,Motion,Military Aid (Israel),Humanitarian Aid (Gaza/Lebanon),Symbolic Resolutions,Campus Protest,"Relations, normalization, and ceasfire",Tommy Tuberville (R-AL),Katie Britt (R-AL),Lisa Murkowski (R-AK),Dan Sullivan (R-AK),"Kyrsten Sinema (I-AZ, formerly D-AZ)",Mark Kelly (D-AZ),John Boozman (R-AR),Tom Cotton (R-AR),Alex Padilla (D-CA),Laphonza Butler (D-CA),Michael Bennett (D-CO),John Hickenlooper (D-CO),Richard Blumenthal (D-CT),Chris Murphy (D-CT),Tom Carper (D-DE),Chris Coons (D-DE),Marco Rubio (R-FL),Rick Scott (R-FL),Jon Ossoff (D-GA),Raphael Warnock (D-GA),Brian Schatz (D-HI),Mazie Hirono (D-HI),Mike Crapo (R-ID),Jim Risch (R-ID),Dick Durbin (D-IL),Tammy Duckworth (D-IL),Todd Young (R-IN),Mike Braun (R-IN),Chuck Grassley (R-IA),Joni Ernst (R-IA),Jerry Moran (R-KS),Roger Marshall (R-KS),Mitch McConnell (R-KY),Rand Paul (R-KY),Bill Cassidy (R-LA),John Kennedy (R-LA),Susan Collins (R-ME),Angus King (I-ME (D-ME)),Ben Cardin (D-MD),Chris Van Hollen (D-MD),Elizabeth Warren (D-MA),Ed Markey (D-MA),Debbie Stabenow (D-MI),Gary Peters (D-MI),Amy Klobuchar (D-MN),Tina Smith (D-MN),Roger Wicker (R-MS),Cindy Hyde-Smith (R-MS),Josh Hawley (R-MO),Eric Schmitt (R-MO),Jon Tester (D-MT),Steve Daines (R-MT),Deb Fischer (R-NE),Pete Ricketts (R-NE),Catherine Cortez Masto (D-NV),Jacky Rosen (D-NV),Jeanne Shaeen (D-NH),Maggie Hassan (D-NH),Bob Menendez (D-NJ),Cory Booker (D-NJ),Martin Heinrich (D-NM),Ben Ray Luján (D-NM),Chuck Schumer (D-NY),Kirsten Gillibrand (D-NY),Thom Tillis (R-NC),Ted Budd (R-NC),John Hoeven (R-ND),Kevin Cramer (R-ND),Sherrod Brown (D-OH),JD Vance* (R-OH),James Lankford (R-OK),Markwayne Mullin (R-OK),Ron Wyden (D-OR),Jeff Merkley (D-OR),Bob Casey Jr. (D-PA),John Fetterman (D-PA),Jack Reed (D-RI),Sheldon Whitehouse (D-RI),Lindsey Graham (R-SC),Tim Scott (R-SC),John Thune (R-SD),Mike Rounds (R-SD),Marsha Blackburn (R-TN),Bill Hagerty (R-TN),John Cornyn (R-TX),Ted Cruz (R-TX),Mike Lee (R-UT),Mitt Romney (R-UT),Bernie Sanders (I-VT (D-VT)),Peter Welch (D-VT),Mark Warner (D-VA),Tim Kaine (D-VA),Patty Murray (D-WA),Maria Cantwell (D-WA),Joe Manchin (D-WV),Shelley Capito (R-WV),Ron Johnson (R-WI),Tammy Baldwin (D-WI),John Barasso (R-WY),Cynthia Lummis (R-WY),George Helmy (D-NJ),
10/16/2023,Reimposes  sanctions on Iran removed as part of the Iran nuclear deal ,0,0,0.2,0,0.5,1.5,1.5,0,1.5,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,1.5,0,0,1.5,1.5,1.5,1.5,0,0,1.5,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,0,1.5,1.5,1.5,0,0,1.5,0,0,0,1.5,1.5,1.5,0,1.5,1.5,1.5,0,1.5,1.5,0,0,0,0,0,0,1.5,1.5,1.5,0,0,1.5,0,
10/17/2023,S3049 Freezes $6B of iranian money held by the US in Qatar,0,0,0.2,0,0.8,1.5,1.5,0,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1.5,0,0,0,0,1.5,0,0,1.5,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,1.5,0,1.5,1.5,0,0,0,0,0,0,0,1.5,0,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,1.5,1.5,0,
10/17/2023,S3052 bans immigration from Palestine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/17/2023,S3057 bans allocation of Special Drawing Rights (effectively foreign currency) at IMF for states US deems sponsors of terrorism,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,
10/17/2023,S3061 would reimpose sanctions on Iran revoked by a waiver passed earlier in 2023,0,0,0,0,0.3,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"12/13/2023 S. Res 497 -> resolution to express the sense of the Senate that the slogan ""From the river to the sea, Palestine will be free"" and derivations are antisemitic and a call for genocide and destruction of jewish state",0,0,0.6,0.7,0.2,1.5,1.5,0,1.5,0,0,1.5,1.5,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,1.5,0,0,0,0,0,0,0,1.5,0,1.5,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,
,12/14/2023 S. Res 504 -> requesting information on israel's human rights practices,-0.4,-0.2,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,
,12/14/2023 S. Res 505 -> resolution condemning use of sexual violence and rape as a weapon of war by Hamas against Israel,0,0,-0.1,0,0,0,1.5,0,0,0,0,1.5,0,0,0,1.5,1.5,0,1.5,0,1.5,0,0,1.5,1.5,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1.5,1.5,0,0,1.5,1.5,0,0,0,0,0,0,0,1.5,0,1.5,1.5,1.5,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,1.5,1.5,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,
10/17/2023,S3064 conditions US funding to the UN until Iran is expelled and investigated under the Genocide Convention,0,0,0.5,0,0.9,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,
10/17/2023,SRES408 condemns Hamas for attack on Israel,0,0,0.1,0,0,0,1.5,0,1.5,0,0,0,1.5,0,0,1.5,1.5,1.5,1.5,0,1.5,1.5,1.5,0,1.5,0,0,0,0,1.5,1.5,1.5,0,1.5,1.5,0,0,0,0,0,0,1.5,0,1.5,0,0,1.5,0,1.5,0,0,1.5,0,0,0,1.5,0,0,1.5,0,1.5,0,1.5,0,1.5,1.5,0,0,1.5,1.5,0,1.5,0,0,1.5,0,1.5,1.5,1.5,1.5,1.5,0,0,1.5,1.5,1.5,0,0,1.5,0,0,0,1.5,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,
10/18/2023,S 3078 conditions student loan and grant funding for college campuses that authorize events found to be antisemitic,0,0,0,0.2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
