Date,Motion,Military Aid (Israel),Humanitarian Aid (Gaza/Lebanon),Symbolic Resolutions,Campus Protest,"Relations, normalization, and ceasfire",Tommy Tuberville (R-AL),Katie Britt (R-AL),Lisa Murkowski (R-AK),Dan Sullivan (R-AK),"Kyrsten Sinema (I-AZ, formerly D-AZ)",Mark Kelly (D-AZ),John Boozman (R-AR),Tom Cotton (R-AR),Alex Padilla (D-CA),Laphonza Butler (D-CA),Michael Bennett (D-CO),John Hickenlooper (D-CO),Richard Blumenthal (D-CT),Chris Murphy (D-CT),Tom Carper (D-DE),Chris Coons (D-DE),Marco Rubio (R-FL),Rick Scott (R-FL),Jon Ossoff (D-GA),Raphael Warnock (D-GA),Brian Schatz (D-HI),Mazie Hirono (D-HI),Mike Crapo (R-ID),Jim Risch (R-ID),Dick Durbin (D-IL),Tammy Duckworth (D-IL),Todd Young (R-IN),Mike Braun (R-IN),Chuck Grassley (R-IA),Joni Ernst (R-IA),Jerry Moran (R-KS),Roger Marshall (R-KS),Mitch McConnell (R-KY),Rand Paul (R-KY),Bill Cassidy (R-LA),John Kennedy (R-LA),Susan Collins (R-ME),Angus King (I-ME (D-ME)),Ben Cardin (D-MD),Chris Van Hollen (D-MD),Elizabeth Warren (D-MA),Ed Markey (D-MA),Debbie Stabenow (D-MI),Gary Peters (D-MI),Amy Klobuchar (D-MN),Tina Smith (D-MN),Roger Wicker (R-MS),Cindy Hyde-Smith (R-MS),Josh Hawley (R-MO),Eric Schmitt (R-MO),Jon Tester (D-MT),Steve Daines (R-MT),Deb Fischer (R-NE),Pete Ricketts (R-NE),Catherine Cortez Masto (D-NV),Jacky Rosen (D-NV),Jeanne Shaeen (D-NH),Maggie Hassan (D-NH),Bob Menendez (D-NJ),Cory Booker (D-NJ),Martin Heinrich (D-NM),Ben Ray Luján (D-NM),Chuck Schumer (D-NY),Kirsten Gillibrand (D-NY),Thom Tillis (R-NC),Ted Budd (R-NC),John Hoeven (R-ND),Kevin Cramer (R-ND),Sherrod Brown (D-OH),JD Vance* (R-OH),James Lankford (R-OK),Markwayne Mullin (R-OK),Ron Wyden (D-OR),Jeff Merkley (D-OR),Bob Casey Jr. (D-PA),John Fetterman (D-PA),Jack Reed (D-RI),Sheldon Whitehouse (D-RI),Lindsey Graham (R-SC),Tim Scott (R-SC),John Thune (R-SD),Mike Rounds (R-SD),Marsha Blackburn (R-TN),Bill Hagerty (R-TN),John Cornyn (R-TX),Ted Cruz (R-TX),Mike Lee (R-UT),Mitt Romney (R-UT),Bernie Sanders (I-VT (D-VT)),Peter Welch (D-VT),Mark Warner (D-VA),Tim Kaine (D-VA),Patty Murray (D-WA),Maria Cantwell (D-WA),Joe Manchin (D-WV),Shelley Capito (R-WV),Ron Johnson (R-WI),Tammy Baldwin (D-WI),John Barasso (R-WY),Cynthia Lummis (R-WY),George Helmy (D-NJ)
2024-09-25," **excludable from dataset, as vote did not pertain strongly to Israel**Senate passage of HR9747, continuing resolution authorizing funding for the government to continue through the final quarter of the year. Bill maintains funding for all DOD programs, including funding to Israel, at the same level, but prevents those funds from being used for new contracts unless expressly authorized. Notably, however, the bill is an omnibus. Most votes on the bill unrelated to Israel and Gaza (as such, marked as 0.5)",0.1,0.1,0.0,0.0,0.0,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.0,0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.0,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0
2024-09-12,Senator Casey added as a sponsor of a bill to increase aid to Israel for anti-tunnel programs.,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-11-20,"SRES115. Bill to deny export license for Boeing Direct Attack Weapons to Israel. Also prohibits the transmission of any technical data that would allow Israel to procure similar weaponry from third parties. This motion would have discharged it from committee, allowing a floor vote. weights high because votes to discharge bills tend to be indications of rather significant ideological lean.",-0.6,0.0,-0.2,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,1.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1
2024-11-20,SRES111. Bill would prevent exports of tank munitions and related defense articles/logistical support to Israel. Similar to above motion ,-0.5,0.0,-0.2,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,1.5,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,1.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1
2024-11-20,SRES113. Bill would prevent the export of mortar cartridges and related defense articles/logistical support,-0.6,0.0,-0.2,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,1.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1
2024-09-19,"Amendment to require intelligence community to produce an assessment of the impact of the conflict on global security, amongst other things.",0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-09-24,"amendment condemning the killing of Wadee Alfayoumi, a Palestinian-American 6-year-old",0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-09-25,SJRES112 introduced. Bill would prevent exports of certain armored vehicles and related munitions to Israel. Yet to receive floor vote,-0.5,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-09-25,"SJRES114 introduced. Bill would prevent exports of certain munitions and aircraft parts, as well as related technical support, to Israel. Yet to receive floor vote. Includes parts necessary for Israeli jets as well as a variety of explosive munitions",-0.6,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-09-25,SJRES116 introduced. Would prevent enhancement of certain weapons systems sold by the United States to Israel. Yet to receive floor vote.,-0.2,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
